job_title_salary_rank,company_size,experience_level_encoded,employment_type_encoded,work_year,salary_in_usd,job_title,company_location,experience_level,employment_type,remote_ratio
1,2,3,1,2024,159750,Machine Learning Engineer,US,SE,FT,0
7,2,3,1,2024,223500,Data Engineer,US,SE,FT,0
7,2,3,1,2024,94200,Data Engineer,US,SE,FT,0
8,2,2,1,2024,130000,AI Engineer,US,MI,FT,100
2,2,3,1,2024,266400,Data Architect,US,SE,FT,100
2,2,3,1,2024,183700,Data Architect,US,SE,FT,100
8,2,3,1,2024,185000,Computer Vision Engineer,US,SE,FT,100
8,2,3,1,2024,140000,Computer Vision Engineer,US,SE,FT,100
8,2,3,1,2024,150000,Consultant,US,SE,FT,100
8,2,3,1,2024,115000,Consultant,US,SE,FT,100
10,2,1,1,2024,85000,Data Management Analyst,US,EN,FT,100
10,2,1,1,2024,75000,Data Management Analyst,US,EN,FT,100
4,2,2,1,2024,175000,Data Operations Manager,US,MI,FT,0
4,2,2,1,2024,122500,Data Operations Manager,US,MI,FT,0
8,2,3,1,2024,145000,Data Operations Analyst,US,SE,FT,100
8,2,3,1,2024,80000,Data Operations Analyst,US,SE,FT,100
6,2,2,1,2024,159000,Data Scientist,US,MI,FT,0
6,2,2,1,2024,100000,Data Scientist,US,MI,FT,0
6,2,2,1,2024,134275,Data Scientist,US,MI,FT,100
6,2,2,1,2024,92700,Data Scientist,US,MI,FT,100
6,2,3,1,2024,66000,Data Scientist,US,SE,FT,0
8,2,3,1,2024,112300,Data Modeler,US,SE,FT,0
3,2,3,1,2024,175633,Software Engineer,CA,SE,FT,0
3,2,3,1,2024,154100,Software Engineer,CA,SE,FT,0
7,2,3,1,2024,113300,Engineer,US,SE,FT,0
8,2,2,1,2024,133700,Developer,US,MI,FT,100
8,2,2,1,2024,94900,Developer,US,MI,FT,100
7,2,3,1,2024,197700,Engineer,US,SE,FT,100
7,2,2,1,2024,138000,Engineer,US,MI,FT,0
8,2,2,1,2024,170000,Full Stack Engineer,US,MI,FT,100
8,2,2,1,2024,130000,Full Stack Engineer,US,MI,FT,100
4,2,1,1,2024,190000,Manager,US,EN,FT,100
4,2,1,1,2024,165000,Manager,US,EN,FT,100
4,2,2,1,2024,125000,Product Manager,US,MI,FT,0
4,2,2,1,2024,96000,Product Manager,US,MI,FT,0
7,2,3,1,2024,166900,Engineer,US,SE,FT,0
7,2,3,1,2024,94300,Engineer,US,SE,FT,0
8,2,3,1,2024,136000,DevOps Engineer,US,SE,FT,100
8,2,3,1,2024,125000,DevOps Engineer,US,SE,FT,100
10,2,3,1,2024,200000,Analyst,US,SE,FT,100
8,2,3,1,2024,255000,Solutions Engineer,US,SE,FT,100
4,2,2,1,2024,163944,Manager,US,MI,FT,0
4,2,2,1,2024,136620,Manager,US,MI,FT,0
4,2,2,1,2024,254856,Product Manager,US,MI,FT,0
4,2,2,1,2024,90000,Product Manager,US,MI,FT,100
9,2,1,1,2024,100000,Business Analyst,US,EN,FT,0
1,2,1,1,2024,250000,Machine Learning Engineer,US,EN,FT,0
1,2,1,1,2024,145000,Machine Learning Engineer,US,EN,FT,0
3,2,2,1,2024,232000,Software Engineer,US,MI,FT,0
1,2,3,1,2024,199800,Machine Learning Engineer,US,SE,FT,0
8,2,3,1,2024,278900,Data Visualization Engineer,US,SE,FT,0
8,2,3,1,2024,157000,Data Visualization Engineer,US,SE,FT,0
10,2,3,1,2024,275000,Data Analyst,US,SE,FT,0
